,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,18.3,326.9,9.9,8.9,15.0,4.6,21.5,380.8,34.4,80.8,7.8,30.7,1.1,0.5,2.2,53.4,1.7,5.2,14.2,3.2,1.5,33.5,13.0,47.0,2.1,0.6,0.4,191.4,223.1,215.1
AUS Manufacture of rubber and plastic products,6.8,377.8,4.9,3.1,4.6,14.7,10.0,280.0,11.3,31.1,42.5,29.5,0.5,1.8,4.0,54.2,10.5,5.6,3.7,17.4,4.7,11.2,10.5,32.7,4.7,5.7,20.7,33.6,93.2,47.7
AUS Manufacture of other non-metallic mineral products,2.4,993.3,0.9,0.4,0.4,3.8,3.6,52.0,2.7,6.0,6.1,4.2,0.0,0.4,0.8,16.1,4.5,0.5,0.6,2.2,0.8,1.8,0.6,2.2,1.7,0.6,0.2,21.6,33.9,6.5
AUS Manufacture of basic metals,2.3,598.0,2.4,1.3,0.8,1.3,6.3,64.3,4.2,9.1,6.3,5.1,0.2,1.4,0.9,14.0,2.0,1.7,1.7,4.9,1.3,5.0,1.2,3.7,4.0,2.7,1.2,16.2,41.7,0.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",28.5,1753.0,17.1,6.5,4.7,23.9,27.1,769.4,33.9,106.9,68.0,32.1,1.2,6.7,7.4,142.4,20.8,13.8,19.8,21.7,11.7,32.8,10.7,19.3,24.3,21.8,20.2,232.4,212.2,184.3
"AUS Manufacture of computer, electronic and optical products",15.1,811.3,23.4,29.8,21.6,19.3,124.2,513.8,47.5,79.8,136.2,86.4,2.7,29.0,4.2,203.9,50.2,37.9,8.7,12.1,16.7,85.2,86.0,60.7,27.2,33.2,10.1,161.2,757.9,529.0
AUS Manufacture of electrical equipment,66.6,471.6,27.6,9.8,12.9,22.3,67.6,1092.5,78.2,125.8,133.8,38.8,6.4,27.2,8.7,165.7,46.9,17.8,7.8,92.1,19.5,74.0,19.6,35.3,14.1,40.7,31.0,170.4,464.4,514.7
AUS Manufacture of machinery and equipment n.e.c.,62.5,1494.1,95.5,67.8,48.9,60.7,547.4,1910.5,274.6,338.8,237.3,247.2,15.1,82.0,21.8,496.2,78.2,119.8,103.7,98.4,74.6,192.4,33.1,215.7,407.2,145.4,98.7,582.2,1249.5,1038.1
"AUS Manufacture of motor vehicles, trailers and semi-trailers",212.5,843.6,39.0,31.7,33.5,276.2,153.2,3341.3,281.2,369.6,897.2,137.3,2.8,7.1,30.2,839.0,150.6,57.0,8.0,154.1,64.9,90.2,27.6,65.0,264.5,70.6,19.6,1939.7,771.0,825.5
AUS Manufacture of other transport equipment,23.1,19.9,7.1,0.8,8.0,72.9,3.6,582.1,12.6,54.6,111.3,28.6,0.8,2.0,0.7,83.7,38.1,27.4,2.5,10.9,13.0,10.6,54.2,45.0,3.4,0.9,125.3,111.8,173.4,280.9
