,0
"CHN Manufacture of computer, electronic and optical products",13983.8
CHN Manufacture of electrical equipment,15170.4
CHN Manufacture of machinery and equipment n.e.c.,60774.4
"CHN Manufacture of motor vehicles, trailers and semi-trailers",15217.1
CHN Manufacture of other transport equipment,9104.7
CHN Manufacture of furniture; other manufacturing,48544.1
CHN Repair and installation of machinery and equipment,0.0
"CHN Electricity, gas, steam and air conditioning supply",2976991.5
"CHN Water collection, treatment and supply",3133.6
"CHN Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",31899.1
CHN Construction,48268.2
CHN Wholesale and retail trade and repair of motor vehicles and motorcycles,0.0
"CHN Wholesale trade, except of motor vehicles and motorcycles",22077.0
"CHN Retail trade, except of motor vehicles and motorcycles",4567.2
CHN Land transport and transport via pipelines,60943.4
CHN Water transport,97131.3
CHN Air transport,25599.6
CHN Warehousing and support activities for transportation,20876.9
CHN Postal and courier activities,1003.4
CHN Accommodation and food service activities,18245.0
CHN Publishing activities,0.0
"CHN Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.0
CHN Telecommunications,1106.7
"CHN Computer programming, consultancy and related activities; information service activities",349.1
"CHN Financial service activities, except insurance and pension funding",3036.3
"CHN Insurance, reinsurance and pension funding, except compulsory social security",1045.4
CHN Activities auxiliary to financial services and insurance activities,0.0
CHN Real estate activities,4630.7
CHN Legal and accounting activities; activities of head offices; management consultancy activities,12709.0
CHN Architectural and engineering activities; technical testing and analysis,0.0
CHN Scientific research and development,6332.0
CHN Advertising and market research,0.0
"CHN Other professional, scientific and technical activities; veterinary activities",3216.2
CHN Administrative and support service activities,803.3
CHN Public administration and defence; compulsory social security,44375.6
CHN Education,33398.2
CHN Human health and social work activities,38667.3
CHN Other service activities,40415.6
CHN Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
CHN Activities of extraterritorial organizations and bodies,0.0
"DEU Crop and animal production, hunting and related service activities",1031.2
DEU Forestry and logging,66.6
DEU Fishing and aquaculture,8.2
DEU Mining and quarrying,12234.5
"DEU Manufacture of food products, beverages and tobacco products",9776.1
"DEU Manufacture of textiles, wearing apparel and leather products",1338.6
"DEU Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",835.6
DEU Manufacture of paper and paper products,7419.0
DEU Printing and reproduction of recorded media,1176.7
DEU Manufacture of coke and refined petroleum products ,23373.6
DEU Manufacture of chemicals and chemical products ,28022.1
DEU Manufacture of basic pharmaceutical products and pharmaceutical preparations,190.0
DEU Manufacture of rubber and plastic products,1887.8
DEU Manufacture of other non-metallic mineral products,41093.7
DEU Manufacture of basic metals,86310.5
"DEU Manufacture of fabricated metal products, except machinery and equipment",2706.8
"DEU Manufacture of computer, electronic and optical products",1355.8
DEU Manufacture of electrical equipment,2220.4
DEU Manufacture of machinery and equipment n.e.c.,3810.7
"DEU Manufacture of motor vehicles, trailers and semi-trailers",3795.3
DEU Manufacture of other transport equipment,410.8
DEU Manufacture of furniture; other manufacturing,918.0
DEU Repair and installation of machinery and equipment,658.5
"DEU Electricity, gas, steam and air conditioning supply",355986.4
"DEU Water collection, treatment and supply",1253.6
"DEU Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1523.3
DEU Construction,4645.6
DEU Wholesale and retail trade and repair of motor vehicles and motorcycles,2774.9
"DEU Wholesale trade, except of motor vehicles and motorcycles",11189.6
"DEU Retail trade, except of motor vehicles and motorcycles",13734.5
DEU Land transport and transport via pipelines,16236.9
DEU Water transport,42393.8
DEU Air transport,62278.3
DEU Warehousing and support activities for transportation,12829.5
DEU Postal and courier activities,1396.9
DEU Accommodation and food service activities,4233.1
DEU Publishing activities,268.6
"DEU Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",343.1
DEU Telecommunications,864.9
"DEU Computer programming, consultancy and related activities; information service activities",1701.1
"DEU Financial service activities, except insurance and pension funding",1800.0
"DEU Insurance, reinsurance and pension funding, except compulsory social security",649.2
DEU Activities auxiliary to financial services and insurance activities,610.6
DEU Real estate activities,945.0
